"","chk_acct","duration","credit_his","purpose","amount","saving_acct","present_emp","installment_rate","sex_status","other_debtor","present_resid","property","age","other_install","housing","n_credits","job","n_people","telephone","foreign","response"
"233","No account",12,"no credits taken/all credits paid back duly","radio/television",2141,"[100 - 500)","[4 - 7) Y","[25- 35)","male:single","none","res < 1Y","unknown / no property",35,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"234","CC [0 - 200 €]",18,"no credits taken/all credits paid back duly","radio/television",866,"< 100 €","[1 - 4) Y",">35%","male:married/widowed","guarantor","res_[1- res >7Y)","real estate",25,"No credits","own","1","j_unskilled","1","none","yes","0"
"235","No account",4,"existing credits paid back duly till now","radio/television",1544,"< 100 €","[4 - 7) Y","[20- 25)","male:single","none","res < 1Y","real estate",42,"No credits","own","3","j_unskilled","2","none","yes","0"
"236","CC < 0 €",24,"no credits taken/all credits paid back duly","radio/television",1823,"< 100 €","unemployed",">35%","male:single","none","res_[1- res >7Y)","car or other",30,"Credit stores","own","1","j_management/self-employed/highly qualified employee/ officer","2","none","yes","1"
"237","CC [0 - 200 €]",6,"no credits taken/all credits paid back duly","car (new)",14555,"unknown/ no savings account","unemployed","<[20- 25)0%","male:single","none","res_[1- res >7Y)","Savings agreement/life insurance",23,"No credits","own","1","j_unemployed","1","yes, registered under the customers name","yes","1"
"238","CC [0 - 200 €]",21,"no credits taken/all credits paid back duly","business",2767,"[100 - 500)",">= 7 Y",">35%","male:divorced/separated","none","res_[1- res >7Y)","car or other",61,"Other banks","rent","2","j_unskilled","1","none","yes","1"
"239","No account",12,"existing credits paid back duly till now","radio/television",1291,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","Savings agreement/life insurance",35,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"240","CC < 0 €",30,"no credits taken/all credits paid back duly","radio/television",2522,"< 100 €",">= 7 Y","<[20- 25)0%","male:single","guarantor","res_[res >7Y- 7)","Savings agreement/life insurance",39,"No credits","own","1","j_skilled employee/official","2","none","yes","0"
"241","CC < 0 €",24,"no credits taken/all credits paid back duly","car (new)",915,"unknown/ no savings account",">= 7 Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",29,"Other banks","own","1","j_skilled employee/official","1","none","yes","1"
"242","No account",6,"no credits taken/all credits paid back duly","radio/television",1595,"< 100 €","[4 - 7) Y","[25- 35)","male:single","none","res_[1- res >7Y)","Savings agreement/life insurance",51,"No credits","own","1","j_skilled employee/official","2","none","yes","0"
"243","CC < 0 €",48,"delay in paying off","car (used)",4605,"< 100 €",">= 7 Y","[25- 35)","male:single","none","res >7Y","unknown / no property",24,"No credits","for free","2","j_skilled employee/official","2","none","yes","1"
"244","No account",12,"existing credits paid back duly till now","business",1185,"< 100 €","[1 - 4) Y","[25- 35)","female:divorced/separated/married","none","res_[1- res >7Y)","real estate",27,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"245","No account",12,"critical account in other  bank","retraining",3447,"[500 - 1000)","[1 - 4) Y",">35%","female:divorced/separated/married","none","res_[res >7Y- 7)","real estate",35,"No credits","own","1","j_unskilled","2","none","yes","0"
"246","No account",24,"no credits taken/all credits paid back duly","business",1258,"< 100 €","[4 - 7) Y",">35%","male:single","none","res < 1Y","real estate",25,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"247","No account",12,"existing credits paid back duly till now","radio/television",717,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","real estate",52,"No credits","own","3","j_skilled employee/official","1","none","yes","0"
"248","No account",6,"delay in paying off","car (new)",1204,"[100 - 500)","[1 - 4) Y",">35%","male:single","none","res < 1Y","unknown / no property",35,"Other banks","rent","1","j_skilled employee/official","1","none","no","0"
"249","CC >= 200 €",24,"no credits taken/all credits paid back duly","furniture/equipment",1925,"< 100 €","[1 - 4) Y","[20- 25)","male:single","none","res_[1- res >7Y)","real estate",26,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"250","No account",18,"no credits taken/all credits paid back duly","radio/television",433,"< 100 €","unemployed","[25- 35)","female:divorced/separated/married","co-applicant","res >7Y","real estate",22,"No credits","rent","1","j_skilled employee/official","1","none","yes","1"
"251","CC < 0 €",6,"existing credits paid back duly till now","car (new)",666,">= 1000 €","[4 - 7) Y","[25- 35)","female:divorced/separated/married","none","res >7Y","real estate",39,"No credits","own","2","j_unskilled","1","yes, registered under the customers name","yes","0"
"252","CC >= 200 €",12,"no credits taken/all credits paid back duly","furniture/equipment",2251,"< 100 €","[1 - 4) Y","<[20- 25)0%","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",46,"No credits","own","1","j_unskilled","1","none","yes","0"
"253","CC [0 - 200 €]",30,"no credits taken/all credits paid back duly","car (new)",2150,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","guarantor","res_[1- res >7Y)","unknown / no property",24,"Other banks","own","1","j_skilled employee/official","1","none","yes","1"
"254","No account",24,"all credits at this bank paid back duly","furniture/equipment",4151,"[100 - 500)","[1 - 4) Y","[20- 25)","male:single","none","res_[res >7Y- 7)","Savings agreement/life insurance",35,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"255","CC [0 - 200 €]",9,"no credits taken/all credits paid back duly","furniture/equipment",2030,"unknown/ no savings account","[4 - 7) Y","[20- 25)","male:single","none","res < 1Y","car or other",24,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"256","CC [0 - 200 €]",60,"all credits at this bank paid back duly","radio/television",7418,"unknown/ no savings account","[1 - 4) Y","<[20- 25)0%","male:single","none","res < 1Y","real estate",27,"No credits","own","1","j_unskilled","1","none","yes","0"
"257","No account",24,"existing credits paid back duly till now","radio/television",2684,"< 100 €","[1 - 4) Y",">35%","male:single","none","res_[1- res >7Y)","real estate",35,"No credits","own","2","j_unskilled","1","none","yes","0"
"258","CC < 0 €",12,"critical account in other  bank","radio/television",2149,"< 100 €","[1 - 4) Y",">35%","male:divorced/separated","none","res < 1Y","unknown / no property",29,"No credits","for free","1","j_skilled employee/official","1","none","yes","1"
"259","No account",15,"no credits taken/all credits paid back duly","car (used)",3812,"[100 - 500)","< 1 Y","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","car or other",23,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"260","No account",11,"existing credits paid back duly till now","radio/television",1154,"[100 - 500)","unemployed",">35%","female:divorced/separated/married","none","res >7Y","real estate",57,"No credits","own","3","j_unskilled","1","none","yes","0"
"261","CC < 0 €",12,"no credits taken/all credits paid back duly","furniture/equipment",1657,"< 100 €","[1 - 4) Y","[20- 25)","male:single","none","res_[1- res >7Y)","real estate",27,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"262","CC < 0 €",24,"no credits taken/all credits paid back duly","radio/television",1603,"< 100 €",">= 7 Y",">35%","female:divorced/separated/married","none","res >7Y","car or other",55,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"263","CC < 0 €",18,"existing credits paid back duly till now","car (new)",5302,"< 100 €",">= 7 Y","[20- 25)","male:single","none","res >7Y","unknown / no property",36,"No credits","for free","3","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"264","No account",12,"existing credits paid back duly till now","education",2748,"< 100 €",">= 7 Y","[20- 25)","female:divorced/separated/married","none","res >7Y","unknown / no property",57,"Other banks","for free","3","j_unskilled","1","none","yes","0"
"265","No account",10,"existing credits paid back duly till now","car (new)",1231,"< 100 €",">= 7 Y","[25- 35)","male:single","none","res >7Y","real estate",32,"No credits","own","2","j_unskilled","2","none","no","0"
"266","CC [0 - 200 €]",15,"no credits taken/all credits paid back duly","radio/television",802,"< 100 €",">= 7 Y",">35%","male:single","none","res_[res >7Y- 7)","car or other",37,"No credits","own","1","j_skilled employee/official","2","none","yes","1"
"267","No account",36,"existing credits paid back duly till now","business",6304,"unknown/ no savings account",">= 7 Y",">35%","male:single","none","res >7Y","real estate",36,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"268","No account",24,"no credits taken/all credits paid back duly","radio/television",1533,"< 100 €","< 1 Y",">35%","female:divorced/separated/married","none","res_[res >7Y- 7)","car or other",38,"Credit stores","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"269","CC < 0 €",14,"no credits taken/all credits paid back duly","car (new)",8978,"< 100 €",">= 7 Y","<[20- 25)0%","male:divorced/separated","none","res >7Y","Savings agreement/life insurance",45,"No credits","own","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","no","1"
"270","No account",24,"no credits taken/all credits paid back duly","radio/television",999,"unknown/ no savings account",">= 7 Y",">35%","male:single","none","res_[1- res >7Y)","car or other",25,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"271","No account",18,"no credits taken/all credits paid back duly","car (new)",2662,"unknown/ no savings account","[4 - 7) Y",">35%","male:single","none","res_[res >7Y- 7)","Savings agreement/life insurance",32,"No credits","own","1","j_skilled employee/official","1","none","no","0"
"272","No account",12,"existing credits paid back duly till now","furniture/equipment",1402,"[500 - 1000)","[4 - 7) Y","[25- 35)","female:divorced/separated/married","none","res >7Y","car or other",37,"No credits","rent","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"273","CC [0 - 200 €]",48,"critical account in other  bank","car (new)",12169,"unknown/ no savings account","unemployed",">35%","male:single","co-applicant","res >7Y","unknown / no property",36,"No credits","for free","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"274","CC [0 - 200 €]",48,"no credits taken/all credits paid back duly","radio/television",3060,"< 100 €","[4 - 7) Y",">35%","male:single","none","res >7Y","real estate",28,"No credits","own","2","j_skilled employee/official","1","none","yes","1"
"275","CC < 0 €",30,"no credits taken/all credits paid back duly","repairs",11998,"< 100 €","< 1 Y","<[20- 25)0%","male:divorced/separated","none","res < 1Y","unknown / no property",34,"No credits","own","1","j_unskilled","1","yes, registered under the customers name","yes","1"
"276","No account",9,"no credits taken/all credits paid back duly","radio/television",2697,"< 100 €","[1 - 4) Y","<[20- 25)0%","male:single","none","res_[1- res >7Y)","real estate",32,"No credits","own","1","j_skilled employee/official","2","none","yes","0"
"277","No account",18,"existing credits paid back duly till now","radio/television",2404,"< 100 €","[1 - 4) Y","[20- 25)","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",26,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"278","CC < 0 €",12,"no credits taken/all credits paid back duly","furniture/equipment",1262,"unknown/ no savings account",">= 7 Y","[20- 25)","male:divorced/separated","none","res >7Y","Savings agreement/life insurance",49,"No credits","own","1","j_unskilled","1","yes, registered under the customers name","yes","0"
"279","No account",6,"no credits taken/all credits paid back duly","furniture/equipment",4611,"< 100 €","< 1 Y","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","Savings agreement/life insurance",32,"No credits","own","1","j_skilled employee/official","1","none","yes","1"
"280","No account",24,"no credits taken/all credits paid back duly","radio/television",1901,"[100 - 500)","[1 - 4) Y",">35%","male:single","none","res >7Y","car or other",29,"No credits","rent","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"281","No account",15,"existing credits paid back duly till now","car (used)",3368,">= 1000 €",">= 7 Y","[25- 35)","male:single","none","res >7Y","unknown / no property",23,"No credits","rent","2","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"282","No account",12,"no credits taken/all credits paid back duly","furniture/equipment",1574,"< 100 €","[1 - 4) Y",">35%","male:single","none","res_[1- res >7Y)","real estate",50,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"283","CC >= 200 €",18,"critical account in other  bank","radio/television",1445,"unknown/ no savings account","[4 - 7) Y",">35%","male:single","none","res >7Y","car or other",49,"Other banks","own","1","j_unskilled","1","none","yes","0"
"284","No account",15,"existing credits paid back duly till now","furniture/equipment",1520,"unknown/ no savings account",">= 7 Y",">35%","male:single","none","res >7Y","Savings agreement/life insurance",63,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"285","CC [0 - 200 €]",24,"existing credits paid back duly till now","car (new)",3878,"[100 - 500)","< 1 Y",">35%","male:divorced/separated","none","res_[1- res >7Y)","car or other",37,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"286","CC < 0 €",47,"no credits taken/all credits paid back duly","car (new)",10722,"< 100 €","< 1 Y","<[20- 25)0%","female:divorced/separated/married","none","res < 1Y","real estate",35,"No credits","own","1","j_unskilled","1","yes, registered under the customers name","yes","0"
"287","CC < 0 €",48,"no credits taken/all credits paid back duly","car (used)",4788,"< 100 €","[4 - 7) Y",">35%","male:single","none","res_[res >7Y- 7)","Savings agreement/life insurance",26,"No credits","own","1","j_skilled employee/official","2","none","yes","0"
"288","CC [0 - 200 €]",48,"all credits at this bank paid back duly","car (used)0",7582,"[100 - 500)","unemployed","[20- 25)","male:single","none","res >7Y","unknown / no property",31,"No credits","for free","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"289","CC [0 - 200 €]",12,"no credits taken/all credits paid back duly","radio/television",1092,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","guarantor","res >7Y","real estate",49,"No credits","own","2","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"290","CC < 0 €",24,"all credits at this bank paid back duly","radio/television",1024,"< 100 €","< 1 Y",">35%","male:married/widowed","none","res >7Y","real estate",48,"Credit stores","own","1","j_skilled employee/official","1","none","yes","1"
"291","No account",12,"no credits taken/all credits paid back duly","business",1076,"< 100 €","[1 - 4) Y","[20- 25)","male:married/widowed","none","res_[1- res >7Y)","real estate",26,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","no","0"
"292","CC [0 - 200 €]",36,"no credits taken/all credits paid back duly","car (used)",9398,"< 100 €","< 1 Y","<[20- 25)0%","male:married/widowed","none","res >7Y","car or other",28,"No credits","rent","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","1"
"293","CC < 0 €",24,"existing credits paid back duly till now","car (used)",6419,"< 100 €",">= 7 Y","[20- 25)","female:divorced/separated/married","none","res >7Y","unknown / no property",44,"No credits","for free","2","j_management/self-employed/highly qualified employee/ officer","2","yes, registered under the customers name","yes","0"
"294","CC >= 200 €",42,"existing credits paid back duly till now","car (used)",4796,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","unknown / no property",56,"No credits","for free","1","j_skilled employee/official","1","none","yes","0"
"295","No account",48,"existing credits paid back duly till now","business",7629,"unknown/ no savings account",">= 7 Y",">35%","male:divorced/separated","none","res_[1- res >7Y)","car or other",46,"Other banks","own","2","j_management/self-employed/highly qualified employee/ officer","2","none","yes","0"
"296","CC [0 - 200 €]",48,"no credits taken/all credits paid back duly","furniture/equipment",9960,"< 100 €","< 1 Y","<[20- 25)0%","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",26,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"297","No account",12,"no credits taken/all credits paid back duly","car (used)",4675,"unknown/ no savings account","< 1 Y","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","car or other",20,"No credits","rent","1","j_skilled employee/official","1","none","yes","0"
"298","No account",10,"no credits taken/all credits paid back duly","car (new)",1287,"unknown/ no savings account",">= 7 Y",">35%","male:single","co-applicant","res_[1- res >7Y)","Savings agreement/life insurance",45,"No credits","own","1","j_unskilled","1","none","no","0"
"299","No account",18,"no credits taken/all credits paid back duly","furniture/equipment",2515,"< 100 €","[1 - 4) Y","[25- 35)","male:single","none","res >7Y","real estate",43,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"300","CC [0 - 200 €]",21,"existing credits paid back duly till now","furniture/equipment",2745,">= 1000 €","[4 - 7) Y","[25- 35)","male:single","none","res_[1- res >7Y)","car or other",32,"No credits","own","2","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"301","No account",6,"no credits taken/all credits paid back duly","car (new)",672,"< 100 €","unemployed","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","real estate",54,"No credits","own","1","j_unemployed","1","yes, registered under the customers name","yes","0"
"302","CC [0 - 200 €]",36,"delay in paying off","radio/television",3804,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","none","res < 1Y","car or other",42,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"303","CC >= 200 €",24,"existing credits paid back duly till now","car (new)",1344,"unknown/ no savings account","[4 - 7) Y",">35%","male:single","none","res_[1- res >7Y)","real estate",37,"Other banks","own","2","j_unskilled","2","none","yes","1"
"304","CC < 0 €",10,"existing credits paid back duly till now","car (new)",1038,"< 100 €","[4 - 7) Y",">35%","male:single","co-applicant","res_[res >7Y- 7)","Savings agreement/life insurance",49,"No credits","own","2","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"305","No account",48,"existing credits paid back duly till now","car (new)",10127,"[500 - 1000)","[1 - 4) Y","[20- 25)","male:single","none","res_[1- res >7Y)","unknown / no property",44,"Other banks","for free","1","j_skilled employee/official","1","none","yes","1"
"306","No account",6,"no credits taken/all credits paid back duly","furniture/equipment",1543,">= 1000 €","[1 - 4) Y",">35%","male:divorced/separated","none","res_[1- res >7Y)","real estate",33,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"307","No account",30,"no credits taken/all credits paid back duly","car (used)",4811,"unknown/ no savings account","[4 - 7) Y","[20- 25)","female:divorced/separated/married","none","res >7Y","Savings agreement/life insurance",24,"Credit stores","rent","1","j_unskilled","1","none","yes","0"
"308","CC < 0 €",12,"no credits taken/all credits paid back duly","radio/television",727,"[100 - 500)","< 1 Y",">35%","male:married/widowed","none","res_[res >7Y- 7)","unknown / no property",33,"No credits","own","1","j_unskilled","1","yes, registered under the customers name","yes","1"
"309","CC [0 - 200 €]",8,"no credits taken/all credits paid back duly","furniture/equipment",1237,"< 100 €","[1 - 4) Y","[25- 35)","female:divorced/separated/married","none","res >7Y","real estate",24,"No credits","own","1","j_skilled employee/official","1","none","yes","1"
"310","CC [0 - 200 €]",9,"no credits taken/all credits paid back duly","car (new)",276,"< 100 €","[1 - 4) Y",">35%","male:married/widowed","none","res >7Y","real estate",22,"No credits","rent","1","j_unskilled","1","none","yes","0"
"311","CC [0 - 200 €]",48,"no credits taken/all credits paid back duly","car (used)0",5381,"unknown/ no savings account","unemployed","[25- 35)","male:single","none","res >7Y","unknown / no property",40,"Other banks","for free","1","j_unemployed","1","yes, registered under the customers name","yes","0"
"312","No account",24,"no credits taken/all credits paid back duly","furniture/equipment",5511,"[100 - 500)","[1 - 4) Y",">35%","male:single","none","res < 1Y","car or other",25,"Credit stores","own","1","j_skilled employee/official","1","none","yes","0"
"313","CC >= 200 €",24,"no credits taken/all credits paid back duly","furniture/equipment",3749,"< 100 €","< 1 Y","[20- 25)","female:divorced/separated/married","none","res >7Y","car or other",26,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"314","CC [0 - 200 €]",12,"no credits taken/all credits paid back duly","car (new)",685,"< 100 €","[4 - 7) Y","[20- 25)","male:married/widowed","none","res_[res >7Y- 7)","car or other",25,"Other banks","own","1","j_unskilled","1","none","yes","1"
"315","CC >= 200 €",4,"no credits taken/all credits paid back duly","car (new)",1494,"unknown/ no savings account","< 1 Y","<[20- 25)0%","male:single","none","res_[1- res >7Y)","real estate",29,"No credits","own","1","j_unskilled","2","none","no","0"
"316","CC < 0 €",36,"critical account in other  bank","furniture/equipment",2746,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","car or other",31,"Other banks","own","1","j_skilled employee/official","1","none","yes","1"
"317","CC < 0 €",12,"no credits taken/all credits paid back duly","furniture/equipment",708,"< 100 €","[1 - 4) Y","[20- 25)","male:single","guarantor","res_[res >7Y- 7)","Savings agreement/life insurance",38,"No credits","own","1","j_unskilled","2","none","yes","0"
"318","CC [0 - 200 €]",24,"no credits taken/all credits paid back duly","furniture/equipment",4351,"unknown/ no savings account","[1 - 4) Y","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","Savings agreement/life insurance",48,"No credits","own","1","j_unskilled","1","yes, registered under the customers name","yes","0"
"319","No account",12,"existing credits paid back duly till now","education",701,"< 100 €","[1 - 4) Y",">35%","male:single","none","res_[1- res >7Y)","car or other",32,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"320","CC < 0 €",15,"all credits at this bank paid back duly","furniture/equipment",3643,"< 100 €",">= 7 Y","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","Savings agreement/life insurance",27,"No credits","own","2","j_unskilled","1","none","yes","0"
"321","CC [0 - 200 €]",30,"existing credits paid back duly till now","car (new)",4249,"< 100 €","unemployed",">35%","male:married/widowed","none","res_[1- res >7Y)","car or other",28,"No credits","own","2","j_management/self-employed/highly qualified employee/ officer","1","none","yes","1"
"322","CC < 0 €",24,"no credits taken/all credits paid back duly","radio/television",1938,"< 100 €","< 1 Y",">35%","male:divorced/separated","none","res_[res >7Y- 7)","Savings agreement/life insurance",32,"No credits","own","1","j_skilled employee/official","1","none","yes","1"
"323","CC < 0 €",24,"no credits taken/all credits paid back duly","car (used)",2910,"< 100 €","[4 - 7) Y","[20- 25)","male:single","none","res < 1Y","unknown / no property",34,"No credits","for free","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"324","CC < 0 €",18,"no credits taken/all credits paid back duly","furniture/equipment",2659,">= 1000 €","[1 - 4) Y",">35%","male:single","none","res_[1- res >7Y)","car or other",28,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"325","No account",18,"existing credits paid back duly till now","car (new)",1028,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","none","res_[res >7Y- 7)","real estate",36,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"326","CC < 0 €",8,"existing credits paid back duly till now","car (new)",3398,"< 100 €","[4 - 7) Y","<[20- 25)0%","male:single","none","res >7Y","real estate",39,"No credits","own","2","j_unskilled","1","none","no","0"
"327","No account",12,"existing credits paid back duly till now","furniture/equipment",5801,"unknown/ no savings account",">= 7 Y","[20- 25)","male:single","none","res >7Y","Savings agreement/life insurance",49,"No credits","rent","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"328","No account",24,"no credits taken/all credits paid back duly","car (new)",1525,">= 1000 €","[4 - 7) Y",">35%","female:divorced/separated/married","none","res_[res >7Y- 7)","car or other",34,"No credits","own","1","j_skilled employee/official","2","yes, registered under the customers name","yes","0"
"329","CC >= 200 €",36,"no credits taken/all credits paid back duly","radio/television",4473,"< 100 €",">= 7 Y",">35%","male:single","none","res_[1- res >7Y)","car or other",31,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"330","CC [0 - 200 €]",6,"no credits taken/all credits paid back duly","radio/television",1068,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","car or other",28,"No credits","own","1","j_skilled employee/official","2","none","yes","0"
"331","CC < 0 €",24,"existing credits paid back duly till now","car (used)",6615,"< 100 €","unemployed","[20- 25)","male:single","none","res >7Y","unknown / no property",75,"No credits","for free","2","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"332","No account",18,"existing credits paid back duly till now","education",1864,"[100 - 500)","[1 - 4) Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","real estate",30,"No credits","own","2","j_skilled employee/official","1","none","yes","1"
"333","CC [0 - 200 €]",60,"no credits taken/all credits paid back duly","car (new)",7408,"[100 - 500)","< 1 Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","Savings agreement/life insurance",24,"No credits","own","1","j_management/self-employed/highly qualified employee/ officer","1","none","yes","1"
"334","No account",48,"existing credits paid back duly till now","car (used)",11590,"[100 - 500)","[1 - 4) Y","[20- 25)","female:divorced/separated/married","none","res >7Y","car or other",24,"Other banks","rent","2","j_unskilled","1","none","yes","1"
"335","CC < 0 €",24,"delay in paying off","furniture/equipment",4110,"< 100 €",">= 7 Y","[25- 35)","male:single","none","res >7Y","unknown / no property",23,"Other banks","rent","2","j_skilled employee/official","2","none","yes","1"
"336","CC < 0 €",6,"existing credits paid back duly till now","furniture/equipment",3384,"< 100 €","[1 - 4) Y","<[20- 25)0%","male:divorced/separated","none","res >7Y","real estate",44,"No credits","rent","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","1"
"337","CC [0 - 200 €]",13,"no credits taken/all credits paid back duly","radio/television",2101,"< 100 €","< 1 Y","[20- 25)","female:divorced/separated/married","guarantor","res >7Y","Savings agreement/life insurance",23,"No credits","own","1","j_unskilled","1","none","yes","0"
"338","CC < 0 €",15,"no credits taken/all credits paid back duly","domestic appliances",1275,"unknown/ no savings account","[1 - 4) Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",24,"No credits","rent","1","j_skilled employee/official","1","none","yes","1"
"339","CC < 0 €",24,"no credits taken/all credits paid back duly","furniture/equipment",4169,"< 100 €","[1 - 4) Y",">35%","male:single","none","res >7Y","Savings agreement/life insurance",28,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"340","CC [0 - 200 €]",10,"no credits taken/all credits paid back duly","furniture/equipment",1521,"< 100 €","[1 - 4) Y",">35%","male:divorced/separated","none","res_[1- res >7Y)","car or other",31,"No credits","own","1","j_unskilled","1","none","yes","0"
"341","CC [0 - 200 €]",24,"existing credits paid back duly till now","education",5743,"< 100 €","< 1 Y","[20- 25)","female:divorced/separated/married","none","res >7Y","unknown / no property",24,"No credits","for free","2","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"342","CC < 0 €",21,"no credits taken/all credits paid back duly","furniture/equipment",3599,"< 100 €","[4 - 7) Y","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","car or other",26,"No credits","rent","1","j_unskilled","1","none","yes","0"
"343","CC [0 - 200 €]",18,"no credits taken/all credits paid back duly","radio/television",3213,"[500 - 1000)","< 1 Y","<[20- 25)0%","male:married/widowed","none","res_[res >7Y- 7)","real estate",25,"No credits","rent","1","j_skilled employee/official","1","none","yes","0"
"344","CC [0 - 200 €]",18,"no credits taken/all credits paid back duly","business",4439,"< 100 €",">= 7 Y","<[20- 25)0%","male:single","co-applicant","res < 1Y","real estate",33,"Other banks","own","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"345","CC >= 200 €",10,"no credits taken/all credits paid back duly","car (new)",3949,"< 100 €","< 1 Y","<[20- 25)0%","male:single","guarantor","res < 1Y","Savings agreement/life insurance",37,"No credits","own","1","j_unskilled","2","none","yes","0"
"346","No account",15,"existing credits paid back duly till now","radio/television",1459,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",43,"No credits","own","1","j_unskilled","1","none","yes","0"
"347","CC [0 - 200 €]",13,"existing credits paid back duly till now","radio/television",882,"< 100 €","< 1 Y",">35%","male:single","guarantor","res >7Y","real estate",23,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"348","CC [0 - 200 €]",24,"no credits taken/all credits paid back duly","radio/television",3758,"[500 - 1000)","unemployed","<[20- 25)0%","female:divorced/separated/married","none","res >7Y","unknown / no property",23,"No credits","rent","1","j_unemployed","1","none","yes","0"
"349","No account",6,"all credits at this bank paid back duly","business",1743,"[100 - 500)","[1 - 4) Y","<[20- 25)0%","male:single","none","res_[1- res >7Y)","real estate",34,"No credits","own","2","j_unskilled","1","none","yes","0"
"350","CC [0 - 200 €]",9,"existing credits paid back duly till now","education",1136,">= 1000 €",">= 7 Y",">35%","male:single","none","res_[res >7Y- 7)","unknown / no property",32,"No credits","for free","2","j_skilled employee/official","2","none","yes","1"
